,A_name,A_code,B_name,B_code,t,p,crit_value_1,crit_value_5,crit_value_10,flag
433,东兴证券,601198.SH,申万宏源,000166.SZ,-2.9253473806562265,0.042478844824011285,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,True
434,东兴证券,601198.SH,天风证券,601162.SH,-1.5783991162586641,0.49443459239337195,-3.446129402876608,-2.8684960761128346,-2.570475362616382,False
435,东兴证券,601198.SH,招商证券,600999.SH,-0.8455897901477225,0.8053623870225254,-3.4438771098680196,-2.867505393939065,-2.569947324764179,False
436,东兴证券,601198.SH,太平洋,601099.SH,-3.850675399851262,0.0024293762297807274,-3.443905150512834,-2.867517732199813,-2.569953900520778,True
437,东兴证券,601198.SH,华安证券,600909.SH,-2.9752986131740693,0.037266479662778726,-3.443905150512834,-2.867517732199813,-2.569953900520778,True
438,东兴证券,601198.SH,国投资本,600061.SH,-2.970332946186954,0.037759353832775094,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,True
439,东兴证券,601198.SH,国元证券,000728.SZ,-3.7942051172248235,0.0029671638105578323,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,True
440,东兴证券,601198.SH,东方财富,300059.SZ,-0.8467614595528095,0.8049990304023451,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
441,东兴证券,601198.SH,山西证券,002500.SZ,-3.849520589528252,0.002439407546802408,-3.44407586647939,-2.867592847097137,-2.5699939338217668,True
442,东兴证券,601198.SH,中国银河,601881.SH,-2.5640359313237426,0.10066042633978911,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
443,东兴证券,601198.SH,中信建投,601066.SH,-0.18385238517273342,0.9404191986537818,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
444,东兴证券,601198.SH,国盛金控,002670.SZ,-2.7516448318075444,0.06551980956927704,-3.4436840273842058,-2.8674204319994674,-2.5699020441557052,False
445,东兴证券,601198.SH,东吴证券,601555.SH,-3.5558559438662165,0.006663262303601321,-3.4441920863262863,-2.8676439813617147,-2.570021186703601,True
446,东兴证券,601198.SH,华泰证券,601688.SH,-3.3333192509550433,0.013453229379863417,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,True
447,东兴证券,601198.SH,西部证券,002673.SZ,-3.4940678571484582,0.008140757474364123,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,True
448,东兴证券,601198.SH,第一创业,002797.SZ,-2.70108041956588,0.0738514957995029,-3.4437936797256317,-2.867468682890213,-2.5699277594606915,False
449,东兴证券,601198.SH,浙商证券,601878.SH,-1.029488452078338,0.7423577274246141,-3.4438213751870337,-2.867480869596464,-2.5699342544006987,False
450,南京证券,601990.SH,红塔证券,601236.SH,-4.926029981615072,3.102611262257595e-05,-3.4569962781990573,-2.8732659015936024,-2.573018897632674,True
451,南京证券,601990.SH,中信证券,600030.SH,-1.957895396144042,0.3053339846774772,-3.4439333076538854,-2.8675301216074414,-2.56996050355167,False
452,南京证券,601990.SH,财通证券,601108.SH,-1.0273688214893002,0.7431517481902798,-3.443849184997939,-2.8674931065091105,-2.569940776113236,False
453,南京证券,601990.SH,光大证券,601788.SH,-1.6583987919208363,0.45266397182507,-3.4437660979098843,-2.8674565460819896,-2.569921291128696,False
454,南京证券,601990.SH,长江证券,000783.SZ,-1.4874508302567153,0.5397098481592527,-3.4436029548776395,-2.867384756137026,-2.5698830308597813,False
455,南京证券,601990.SH,华林证券,002945.SZ,-1.8416079610222518,0.36000878214789,-3.448645946352023,-2.869602139060357,-2.5710650077160495,False
456,南京证券,601990.SH,海通证券,600837.SH,-1.5100257354682822,0.528546049545091,-3.4436298692815304,-2.867396599893435,-2.5698893429241916,False
